"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2699","The text should be equal","Tests for Survey 4","Tue Oct 15 21:41:44 CST 2024","passed","Tue Oct 15 21:41:47 CST 2024","Test for verification2","Test for UI Playground Test","",""
"","4867","Compare the cell table data is equal to the label","","Tue Oct 15 21:42:54 CST 2024","passed","Tue Oct 15 21:42:59 CST 2024","","Testing Dynamic Tables","",""
